name,distance,population,county,count
MILTON,5.171604633,28630,NORFOLK,1
WINCHESTER,9.814877164,22970,MIDDLESEX,1
LUDLOW,70.49339108,21002,HAMPDEN,1
MARBLEHEAD,17.1038011,20441,ESSEX,1
GRAFTON,31.26450684,19664,WORCESTER,1
AMHERST,72.44614784,39263,HAMPSHIRE,2
SCITUATE,18.66104344,19063,PLYMOUTH,1
SUDBURY,17.68087737,18934,MIDDLESEX,1
SHARON,15.10632997,18575,NORFOLK,1
SOUTH HADLEY,76.24455407,18150,HAMPSHIRE,1
AMESBURY,37.82847686,17366,ESSEX,1
EAST LONGMEADOW,74.28446451,16430,HAMPDEN,1
WESTPORT,49.90385663,16339,BRISTOL,1
DUXBURY,26.63390367,16090,PLYMOUTH,1
LONGMEADOW,78.1152283,15853,HAMPDEN,1
BROOKLINE,2.665859115,63191,NORFOLK,4
NORTHBOROUGH,28.42871818,15741,WORCESTER,1
SWAMPSCOTT,14.4599765,15111,ESSEX,1
HOLLISTON,19.91575576,14996,MIDDLESEX,1
MELROSE,9.774055593,29817,MIDDLESEX,2
LAWRENCE,26.80640605,89143,ESSEX,6
NORTHAMPTON,80.95944002,29571,HAMPSHIRE,2
WILBRAHAM,69.84713073,14613,HAMPDEN,1
WAYLAND,14.07662838,13943,MIDDLESEX,1
IPSWICH,28.28201513,13785,ESSEX,1
NORTH ADAMS,106.3351646,12961,BERKSHIRE,1
MARSHFIELD,23.74141086,25825,PLYMOUTH,2
DEDHAM,6.567069372,25364,NORFOLK,2
HINGHAM,12.55043261,24284,PLYMOUTH,2
CHELMSFORD,24.06275951,36392,MIDDLESEX,3
WESTON,11.14016845,11851,MIDDLESEX,1
PEPPERELL,35.90324265,11604,MIDDLESEX,1
ARLINGTON,8.037913172,46308,MIDDLESEX,4
LAKEVILLE,34.17040267,11523,PLYMOUTH,1
NORWELL,17.57287126,11351,PLYMOUTH,1
NEWTON,6.153678829,88923,MIDDLESEX,8
FRANKLIN,22.86481437,33261,NORFOLK,3
LEICESTER,42.35822726,11087,WORCESTER,1
NEEDHAM,8.091569257,32091,NORFOLK,3
ACUSHNET,42.70669419,10559,BRISTOL,1
NORWOOD,10.46256377,31611,NORFOLK,3
SOUTHBOROUGH,22.49725144,10450,WORCESTER,1
BREWSTER,65.58018692,10318,BARNSTABLE,1
LYNN,12.8659805,101253,ESSEX,10
HULL,10.77585001,10072,PLYMOUTH,1
WARE,61.09383599,10066,HAMPSHIRE,1
HOLDEN,39.47302283,19905,WORCESTER,2
WINTHROP,6.811308831,19316,SUFFOLK,2
AGAWAM,81.84593807,28692,HAMPDEN,3
HOLYOKE,79.64273989,38238,HAMPDEN,4
HOPKINTON,23.74213532,18758,MIDDLESEX,2
SUTTON,36.0631099,9357,WORCESTER,1
BLACKSTONE,29.57578557,9208,WORCESTER,1
NEWBURYPORT,35.67543919,18289,ESSEX,2
ANDOVER,23.15860332,36569,ESSEX,4
BELMONT,7.17672783,27295,MIDDLESEX,3
RUTLAND,45.05548728,9049,WORCESTER,1
WAKEFIELD,13.01449145,27090,MIDDLESEX,3
DOUGLAS,38.4610224,8983,WORCESTER,1
RANDOLPH,9.720521502,34984,NORFOLK,4
AYER,29.91061221,8479,MIDDLESEX,1
GEORGETOWN,28.71954267,8470,ESSEX,1
MILLIS,17.24317442,8460,NORFOLK,1
CAMBRIDGE,4.386854378,118403,MIDDLESEX,14
LANCASTER,32.25520183,8441,WORCESTER,1
MARLBOROUGH,23.4558262,41793,MIDDLESEX,5
MALDEN,8.081443702,66263,MIDDLESEX,8
LOWELL,25.24481838,115554,MIDDLESEX,14
NORTHBRIDGE,31.63181576,16335,WORCESTER,2
ADAMS,105.6066908,8166,BERKSHIRE,1
MONSON,65.11660908,8150,HAMPDEN,1
BROCKTON,16.50950482,105643,PLYMOUTH,13
SOMERVILLE,5.188563381,81045,MIDDLESEX,10
DIGHTON,33.30377913,8101,BRISTOL,1
UPTON,28.01077275,8000,WORCESTER,1
STERLING,35.9249605,7985,WORCESTER,1
WEST BOYLSTON,35.66729106,7877,WORCESTER,1
REVERE,8.347156884,62186,SUFFOLK,8
HALIFAX,25.25384365,7749,PLYMOUTH,1
NORTH ANDOVER,24.55226935,30915,ESSEX,4
CLINTON,31.28968919,15428,WORCESTER,2
NORTH ATTLEBOROUGH,26.99816953,30834,BRISTOL,4
BELCHERTOWN,67.02485724,15350,HAMPSHIRE,2
SHREWSBURY,32.04608196,38325,WORCESTER,5
WORCESTER,36.83616347,206518,WORCESTER,27
